"Date","Price","Open","High","Low","Vol.","Change %"
"05/14/2023","59.65","59.73","60.86","58.26","132.79M","1.66%"
"05/07/2023","58.68","60.94","61.33","58.06","113.30M","-1.39%"
"04/30/2023","59.50","61.45","61.71","57.50","119.97M","-4.64%"
"04/23/2023","62.40","62.23","62.52","59.63","151.74M","-3.03%"
"04/16/2023","64.35","68.50","69.33","64.24","98.51M","-5.27%"
"04/09/2023","67.92","66.15","71.49","66.11","124.36M","2.68%"
"04/02/2023","66.15","68.78","69.29","65.42","73.17M","-4.41%"
"03/26/2023","69.20","68.53","70.82","67.25","81.81M","2.06%"
"03/19/2023","67.80","71.29","72.39","67.30","106.93M","-4.91%"
"03/12/2023","71.30","71.15","72.70","69.04","135.52M","-0.18%"
"03/05/2023","71.43","73.74","74.13","71.07","116.73M","-5.15%"
"02/26/2023","75.31","71.31","76.16","70.55","107.99M","5.01%"
"02/19/2023","71.72","73.41","74.60","71.39","55.53M","-3.40%"
"02/12/2023","74.24","72.46","76.12","71.94","117.32M","1.42%"
"02/05/2023","73.20","74.38","75.52","72.83","86.44M","-2.42%"
"01/29/2023","75.02","80.88","81.22","74.80","133.69M","-6.68%"
"01/22/2023","80.39","79.57","82.89","78.60","110.82M","1.42%"
"01/15/2023","79.27","77.59","79.76","76.60","103.79M","0.18%"
"01/08/2023","79.12","77.19","79.68","76.96","97.91M","1.60%"
"01/01/2023","77.88","74.79","78.21","74.17","125.02M","3.89%"
